PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Tyler Naquin,Tyler,Naquin,CLE,OF,32788,Tyler Naquin,L,naquity01
Dorssys Paulino,Dorssys,Paulino,CLE,SS,32692,Dorssys Paulino,R,paulido01
Roberto Perez,Roberto,Perez,CLE,C,32265,Roberto Perez,R,perezro02
Jose Ramirez,Jose,Ramirez,CLE,3B,32801,Jose Ramirez,B,ramirjo01
Carlos Santana,Carlos,Santana,CLE,1B,30280,Carlos Santana,B,santaca01
Richie Shaffer,Richie,Shaffer,CLE,1B,32838,Richie Shaffer,R,shaffri01
Giovanny Urshela,Giovanny,Urshela,CLE,3B,32721,Giovanny Urshela,R,urshegi01
Bradley Zimmer,Bradley,Zimmer,CLE,OF,33713,Bradley Zimmer,L,zimmebr01
Cristhian Adames,Cristhian,Adames,COL,SS,31659,Cristhian Adames,B,adamecr01
Alexi Amarista,Alexi,Amarista,COL,2B,30562,Alexi Amarista,L,amarial01
Nolan Arenado,Nolan,Arenado,COL,3B,31261,Nolan Arenado,R,arenano01
Charlie Blackmon,Charlie,Blackmon,COL,OF,31084,Charlie Blackmon,L,blackch02
Stephen Cardullo,Stephen,Cardullo,COL,OF,,,R,cardust01
David Dahl,David,Dahl,COL,OF,32698,David Dahl,L,dahlda01
Ian Desmond,Ian,Desmond,COL,OF,29646,Ian Desmond,R,desmoia01
Dustin Garneau,Dustin,Garneau,COL,C,33257,Dustin Garneau,R,garnedu01
Carlos Gonzalez,Carlos,Gonzalez,COL,OF,28658,Carlos Gonzalez,L,gonzaca01
DJ LeMahieu,DJ,LeMahieu,COL,2B,30765,DJ LeMahieu,R,lemahdj01
Ryan McMahon,Ryan,McMahon,COL,3B,33247,Ryan McMahon,L,mcmahry01
Tom Murphy,Tom,Murphy,COL,C,,,R,murphto04
Gerardo Parra,Gerardo,Parra,COL,OF,29807,Gerardo Parra,L,parrage01
Mark Reynolds,Mark,Reynolds,COL,1B,28772,Mark Reynolds,R,reynoma01
Trevor Story,Trevor,Story,COL,SS,,,R,storytr01
Raimel Tapia,Raimel,Tapia,COL,OF,,,L,tapiara01
Forrest Wall,Forrest,Wall,COL,2B,33726,Forrest Wall,L,wallfo01
Tony Wolters,Tony,Wolters,COL,C,31844,Tony Wolters,L,wolteto01
Alex Avila,Alex,Avila,DET,C,30115,Alex Avila,L,avilaal01
Miguel Cabrera,Miguel,Cabrera,DET,1B,5544,Miguel Cabrera,R,cabremi01
Nick Castellanos,Nick,Castellanos,DET,3B,31187,Nick Castellanos,R,casteni01
Tyler Collins,Tyler,Collins,DET,OF,32136,Tyler Collins,L,collity01
Anthony Gose,Anthony,Gose,DET,OF,31048,Anthony Gose,L,gosean01
Jose Iglesias,Jose,Iglesias,DET,SS,30382,Jose Iglesias,R,iglesjo01
Omar Infante,Omar,Infante,DET,2B,5339,Omar Infante,R,infanom01
JaCoby Jones,JaCoby,Jones,DET,3B,34906,JaCoby Jones,R,jonesja07
Ian Kinsler,Ian,Kinsler,DET,2B,6197,Ian Kinsler,R,kinslia01
David Lough,David,Lough,DET,OF,30528,David Lough,L,loughda01
Dixon Machado,Dixon,Machado,DET,SS,,,R,machadi01
Mikie Mahtook,Mikie,Mahtook,DET,OF,32141,Mikie Mahtook,R,mahtomi01
J.D. Martinez,J.D.,Martinez,DET,OF,31065,J.D. Martinez,R,martijd02
Victor Martinez,Victor,Martinez,DET,DH,5007,Victor Martinez,B,martivi01
James McCann,James,McCann,DET,C,32046,James McCann,R,mccanja01
Steven Moya,Steven,Moya,DET,OF,32257,Steven Moya,L,moyast01
Efren Navarro,Efren,Navarro,DET,OF,30337,Efren Navarro,L,navaref01
Brett Pill,Brett,Pill,DET,1B,30389,Brett Pill,R,pillbr01
Alex Presley,Alex,Presley,DET,OF,29683,Alex Presley,L,preslal01
Andrew Romine,Andrew,Romine,DET,3B,29330,Andrew Romine,B,rominan01
Brendan Ryan,Brendan,Ryan,DET,SS,28789,Brendan Ryan,R,ryanbr01
Justin Upton,Justin,Upton,DET,OF,28841,Justin Upton,R,uptonju01
Jose Altuve,Jose,Altuve,HOU,2B,31662,Jose Altuve,R,altuvjo01
Norichika Aoki,Norichika,Aoki,HOU,OF,32053,Nori Aoki,L,aokino01
Carlos Beltran,Carlos,Beltran,HOU,OF,3971,Carlos Beltran,B,beltrca01
Alex Bregman,Alex,Bregman,HOU,3B,34886,Alex Bregman,R,bregmal01
Reid Brignac,Reid,Brignac,HOU,3B,28707,Reid Brignac,L,brignre01
Carlos Correa,Carlos,Correa,HOU,SS,32653,Carlos Correa,R,correca01
Derek Fisher,Derek,Fisher,HOU,of,33794,Derek Fisher,L,fishede01
Evan Gattis,Evan,Gattis,HOU,C,32863,Evan Gattis,R,gattiev01
Marwin Gonzalez,Marwin,Gonzalez,HOU,3B,30327,Marwin Gonzalez,B,gonzama01
Yulieski Gurriel,Yulieski,Gurriel,HOU,3B,36006,Yulieski Gurriel,R,gourryu01
Jake Marisnick,Jake,Marisnick,HOU,OF,31195,Jake Marisnick,R,marisja01
Brian McCann,Brian,McCann,HOU,C,6309,Brian McCann,L,mccanbr01
Colin Moran,Colin,Moran,HOU,3B,,,L,moranco01
Josh Reddick,Josh,Reddick,HOU,OF,30195,Josh Reddick,L,reddijo01
A.J. Reed,A.J.,Reed,HOU,1B,33674,A.J. Reed,L,reedaj01
Jonathan Singleton,Jonathan,Singleton,HOU,1B,31206,Jon Singleton,L,singljo02
George Springer,George,Springer,HOU,OF,32078,George Springer,R,springe01
Max Stassi,Max,Stassi,HOU,C,30429,Max Stassi,R,stassma01
Kyle Tucker,Kyle,Tucker,HOU,OF,,,L,tuckeky01
Preston Tucker,Preston,Tucker,HOU,OF,33066,Preston Tucker,L,tuckepr01
Tyler White,Tyler,White,HOU,1B,34968,Tyler White,R,whitety01
Jorge Bonifacio,Jorge,Bonifacio,KC,OF,,,R,bonifjo01
Billy Burns,Billy,Burns,KC,OF,32860,Billy Burns,B,burnsbi02
