IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,KFFLNAME,THROWS
hellije01,Jeremy Hellickson,Jeremy,Hellickson,PHI,P,30506,Jeremy Hellickson,,R
hembrhe01,Heath Hembree,Heath,Hembree,BOS,P,31840,Heath Hembree,,R
hendrky01,Kyle Hendricks,Kyle,Hendricks,CHC,P,33173,Kyle Hendricks,,R
hendrli01,Liam Hendriks,Liam,Hendriks,OAK,P,31755,Liam Hendriks,,R
hernafe02,Felix Hernandez,Felix,Hernandez,SEA,P,6194,Felix Hernandez,,R
herreke01,Kelvin Herrera,Kelvin,Herrera,KC,P,32029,Kelvin Herrera,,R
hestoch01,Chris Heston,Chris,Heston,SEA,P,32611,Chris Heston,,R
hinojda01,Dalier Hinojosa,Dalier,Hinojosa,PHI,P,33275,Dalier Hinojosa,,R
hoffmje02,Jeff Hoffman,Jeff,Hoffman,COL,P,33841,Jeff Hoffman,,R
hollade01,Derek Holland,Derek,Holland,CHW,P,30148,Derek Holland,,L
hollagr01,Greg Holland,Greg,Holland,COL,P,30945,Greg Holland,,R
holmegr01,Grant Holmes,Grant,Holmes,OAK,P,33840,Grant Holmes,,R
honeybr01,Brent Honeywell,Brent,Honeywell,TB,P,33838,Brent Honeywell,,R
hoovejj01,J.J. Hoover,J.J.,Hoover,ARI,P,32557,J.J. Hoover,,R
housetj01,T.J. House,T.J.,House,TOR,P,32610,T.J. House,,L
howeljp01,J.P. Howell,J.P.,Howell,TOR,P,6312,J.P. Howell,,L
hudsoda01,Daniel Hudson,Daniel,Hudson,PIT,P,30376,Daniel Hudson,,R
hugheja02,Jared Hughes,Jared,Hughes,PIT,P,31556,Jared Hughes,,R
hugheph01,Phil Hughes,Phil,Hughes,MIN,P,28638,Phil Hughes,,R
hutchdr01,Drew Hutchison,Drew,Hutchison,PIT,P,31462,Drew Hutchison,,R
iglesra01,Raisel Iglesias,Raisel,Iglesias,CIN,P,33618,Raisel Iglesias,,R
iwakuhi01,Hisashi Iwakuma,Hisashi,Iwakuma,SEA,P,30965,Hisashi Iwakuma,,R
janseke01,Kenley Jansen,Kenley,Jansen,LAD,P,29630,Kenley Jansen,,R
jeffrje01,Jeremy Jeffress,Jeremy,Jeffress,TEX,P,30954,Jeremy Jeffress,,R
jennida01,Dan Jennings,Dan,Jennings,CHW,P,30555,Dan Jennings,,L
jimenub01,Ubaldo Jimenez,Ubaldo,Jimenez,BAL,P,28625,Ubaldo Jimenez,,R
johnsbr02,Brian Johnson,Brian,Johnson,BOS,P,34400,Brian Johnson,,L
johnser04,Erik Johnson,Erik,Johnson,SD,P,32176,Erik Johnson,,R
johnsji04,Jim Johnson,Jim,Johnson,ATL,P,28531,Jim Johnson,,R
jonesna01,Nate Jones,Nate,Jones,CHW,P,31136,Nate Jones,,R
jungmta01,Taylor Jungmann,Taylor,Jungmann,MIL,P,32045,Taylor Jungmann,,R
karnsna01,Nate Karns,Nate,Karns,KC,P,32607,Nathan Karns,,R
kazmisc01,Scott Kazmir,Scott,Kazmir,LAD,P,5917,Scott Kazmir,,L
kelake01,Keone Kela,Keone,Kela,TEX,P,33497,Keone Kela,,R
kellesh01,Shawn Kelley,Shawn,Kelley,WAS,P,30258,Shawn Kelley,,R
kellyca01,Casey Kelly,Casey,Kelly,CHC,P,30520,Casey Kelly,,R
kellyjo05,Joe Kelly,Joe,Kelly,BOS,P,31992,Joe Kelly,,R
kendrky01,Kyle Kendrick,Kyle,Kendrick,BOS,P,28804,Kyle Kendrick,,R
kenneia01,Ian Kennedy,Ian,Kennedy,KC,P,28864,Ian Kennedy,,R
kershcl01,Clayton Kershaw,Clayton,Kershaw,LAD,P,28963,Clayton Kershaw,,L
keuchda01,Dallas Keuchel,Dallas,Keuchel,HOU,P,31815,Dallas Keuchel,,L
kimbrcr01,Craig Kimbrel,Craig,Kimbrel,BOS,P,30653,Craig Kimbrel,,R
kintzbr01,Brandon Kintzler,Brandon,Kintzler,MIN,P,30959,Brandon Kintzler,,R
klubeco01,Corey Kluber,Corey,Kluber,CLE,P,30981,Corey Kluber,,R
knebeco01,Corey Knebel,Corey,Knebel,MIL,P,33206,Corey Knebel,,R
koehlto01,Tom Koehler,Tom,Koehler,MIA,P,31079,Tom Koehler,,R
kontoge01,George Kontos,George,Kontos,SF,P,30991,George Kontos,,R
kuhlch01,Chad Kuhl,Chad,Kuhl,PIT,P,35021,Chad Kuhl,,R
lackejo01,John Lackey,John,Lackey,CHC,P,5203,John Lackey,,R
lamboan01,Andrew Lambo,Andrew,Lambo,OAK,P,31028,Andrew Lambo,Andrew Lambo,L
lawde01,Derek Law,Derek,Law,SF,P,33139,Derek Law,,R
leagubr01,Brandon League,Brandon,League,KC,P,6135,Brandon League,,R
leakemi01,Mike Leake,Mike,Leake,STL,P,30465,Mike Leake,,R
leblawa01,Wade LeBlanc,Wade,LeBlanc,PIT,P,29238,Wade LeBlanc,,L
leonedo01,Dominic Leone,Dominic,Leone,TOR,P,33155,Dominic Leone,,R
lestejo01,Jon Lester,Jon,Lester,CHC,P,28487,Jon Lester,,L
lewisco01,Colby Lewis,Colby,Lewis,TEX,P,5067,Colby Lewis,,R
liriafr01,Francisco Liriano,Francisco,Liriano,TOR,P,6211,Francisco Liriano,,L
lobstky01,Kyle Lobstein,Kyle,Lobstein,MIA,P,31756,Kyle Lobstein,,L
lockeje01,Jeff Locke,Jeff,Locke,MIA,P,31068,Jeff Locke,,L
loganbo02,Boone Logan,Boone,Logan,CLE,P,6486,Boone Logan,,L
lopezre01,Reynaldo Lopez,Reynaldo,Lopez,CHW,P,33860,Reynaldo Lopez,,R
lorenmi01,Michael Lorenzen,Michael,Lorenzen,CIN,P,33252,Michael Lorenzen,,R
loupaa01,Aaron Loup,Aaron,Loup,TOR,P,32397,Aaron Loup,,L
lowema01,Mark Lowe,Mark,Lowe,DET,P,28511,Mark Lowe,,R
luetglu01,Lucas Luetge,Lucas,Luetge,CIN,P,32030,Lucas Luetge,,L
lylesjo01,Jordan Lyles,Jordan,Lyles,COL,P,31061,Jordan Lyles,,R
lynnla01,Lance Lynn,Lance,Lynn,STL,P,30820,Lance Lynn,,R
lyonsty01,Tyler Lyons,Tyler,Lyons,STL,P,32641,Tyler Lyons,,L
madsory01,Ryan Madson,Ryan,Madson,OAK,P,5382,Ryan Madson,,R
maedake01,Kenta Maeda,Kenta,Maeda,LAD,P,34892,Kenta Maeda,,R
manaese01,Sean Manaea,Sean,Manaea,OAK,P,33244,Sean Manaea,,L
maronni01,Nick Maronde,Nick,Maronde,MIA,P,32138,Nick Maronde,,L
marshev01,Evan Marshall,Evan,Marshall,ARI,P,32100,Evan Marshall,,R
martefr01,Francis Martes,Francis,Martes,HOU,P,34965,Francis Martes,,R
martica04,Carlos Martinez,Carlos,Martinez,STL,P,31340,Carlos Martinez,,R
martico01,Cody Martin,Cody,Martin,SEA,P,33135,Cody Martin,,R
martini01,Nick Martinez,Nick,Martinez,TEX,P,33372,Nick Martinez,,R
matzst01,Steven Matz,Steven,Matz,NYM,P,33106,Steven Matz,,L
maurebr01,Brandon Maurer,Brandon,Maurer,SD,P,32595,Brandon Maurer,,R
maytr01,Trevor May,Trevor,May,MIN,P,31263,Trevor May,,R
mcallza01,Zach McAllister,Zach,McAllister,CLE,P,30546,Zach McAllister,,R
mccarbr01,Brandon McCarthy,Brandon,McCarthy,LAD,P,6191,Brandon McCarthy,,R
mcculla02,Lance McCullers,Lance,McCullers,HOU,P,32764,Lance McCullers,,R
mcgeeja01,Jake McGee,Jake,McGee,COL,P,28959,Jake McGee,,L
mcgowdu01,Dustin McGowan,Dustin,McGowan,MIA,P,5919,Dustin McGowan,,R
mchugco01,Collin McHugh,Collin,McHugh,HOU,P,32569,Collin McHugh,,R
mejiaad01,Adalberto Mejia,Adalberto,Mejia,MIN,P,33198,Adalberto Mejia,,L
melanma01,Mark Melancon,Mark,Melancon,SF,P,29446,Mark Melancon,,R
mengdda01,Daniel Mengden,Daniel,Mengden,OAK,P,35096,Daniel Mengden,,R
meyeral01,Alex Meyer,Alex,Meyer,LAA,P,32173,Alex Meyer,,R
mileywa01,Wade Miley,Wade,Miley,BAL,P,31094,Wade Miley,,L
millean01,Andrew Miller,Andrew,Miller,CLE,P,28563,Andrew Miller,,L
milleju02,Justin Miller,Justin,Miller,LAA,P,31364,Justin Miller,,R
millesh01,Shelby Miller,Shelby,Miller,ARI,P,30738,Shelby Miller,,R
millsal02,Alec Mills,Alec,Mills,CHC,P,34863,Alec Mills,,R
millsbr02,Brad Mills,Brad,Mills,SEA,P,30201,Brad Mills,,L
milonto01,Tommy Milone,Tommy,Milone,MIL,P,31706,Tommy Milone,,L
minormi01,Mike Minor,Mike,Minor,KC,P,30624,Mike Minor,,L
miranar01,Ariel Miranda,Ariel,Miranda,SEA,P,35305,Ariel Miranda,,L
mitchbr01,Bryan Mitchell,Bryan,Mitchell,NYY,P,31910,Bryan Mitchell,,R
montafr02,Frankie Montas,Frankie,Montas,OAK,P,33249,Frankie Montas,,R
montera01,Rafael Montero,Rafael,Montero,NYM,P,32631,Rafael Montero,,R
montgmi01,Michael Montgomery,Michael,Montgomery,CHC,P,31092,Mike Montgomery,,L
moorema02,Matt Moore,Matt,Moore,SF,P,31099,Matt Moore,,L
morgaad01,Adam Morgan,Adam,Morgan,PHI,P,32636,Adam Morgan,,L
morimsh01,Shawn Morimando,Shawn,Morimando,CLE,P,34866,Shawn Morimando,,L
morribr01,Bryan Morris,Bryan,Morris,SF,P,30497,Bryan Morris,,R
mortoch02,Charlie Morton,Charlie,Morton,HOU,P,29155,Charlie Morton,,R
motteja01,Jason Motte,Jason,Motte,COL,P,29256,Jason Motte,,R
mujiced01,Edward Mujica,Edward,Mujica,DET,P,28501,Edward Mujica,,R
musgrjo01,Joe Musgrove,Joe,Musgrove,HOU,P,34848,Joe Musgrove,,R
nathajo01,Joe Nathan,Joe,Nathan,WAS,P,4044,Joe Nathan,,R
nelsoji02,Jimmy Nelson,Jimmy,Nelson,MIL,P,32738,Jimmy Nelson,,R
nerishe01,Hector Neris,Hector,Neris,PHI,P,32377,Hector Neris,,R
neshepa01,Pat Neshek,Pat,Neshek,PHI,P,28489,Pat Neshek,,R
newcose01,Sean Newcomb,Sean,Newcomb,ATL,P,33856,Sean Newcomb,,L
nicasju01,Juan Nicasio,Juan,Nicasio,PIT,P,30511,Juan Nicasio,,R
nicolju01,Justin Nicolino,Justin,Nicolino,MIA,P,31708,Justin Nicolino,,L
nolaaa01,Aaron Nola,Aaron,Nola,PHI,P,33709,Aaron Nola,,R
