ESPN_ID,Pitcher_name(FL),Name(FL),H_Team,H/A,Bats,NP,PA,AB,Hits,2B,3B,HR,Runs,RBI,BB,IBB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,ESPN_ID(p),Pitcher_name(FL),P_Team,Throws,Stadium
32269,Luis Perdomo,Brandon Drury,ari,H,R,51,13,12,3,0,0,0,0,1,1,0,2,0,0,0,0.25,0.308,0.25,0.558,0.262,35970,Luis Perdomo,sd,R,Chase Field
31998,Luis Perdomo,Chris Herrmann,ari,H,L,13,4,4,1,0,0,1,1,2,0,0,0,0,0,0,0.25,0.25,1,1.25,0.5,35970,Luis Perdomo,sd,R,Chase Field
30862,Luis Perdomo,Chris Owings,ari,H,R,27,11,11,1,0,0,0,2,0,0,0,1,0,0,0,0.091,0.091,0.091,0.182,0.082,35970,Luis Perdomo,sd,R,Chase Field
32355,Luis Perdomo,Nick Ahmed,ari,H,R,11,6,5,1,0,0,0,0,0,0,0,1,1,0,0,0.2,0.333,0.2,0.533,0.267,35970,Luis Perdomo,sd,R,Chase Field
33384,Luis Perdomo,David Peralta,ari,H,L,16,5,5,4,0,0,0,3,0,0,0,0,0,0,0,0.8,0.8,0.8,1.6,0.72,35970,Luis Perdomo,sd,R,Chase Field
32742,Luis Perdomo,Jake Lamb,ari,H,L,57,14,12,4,1,1,1,3,4,2,0,3,0,0,0,0.333,0.429,0.833,1.262,0.511,35970,Luis Perdomo,sd,R,Chase Field
31280,Luis Perdomo,Rey Fuentes,ari,H,L,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35970,Luis Perdomo,sd,R,Chase Field
30909,Zack Greinke,Ryan Schimpf,sd,A,L,55,12,12,2,2,0,0,1,0,0,0,5,0,0,1,0.167,0.167,0.333,0.5,0.208,5883,Zack Greinke,ari,R,Chase Field
36085,Zack Greinke,Allen Cordoba,sd,A,R,11,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5883,Zack Greinke,ari,R,Chase Field
32168,Zack Greinke,Austin Hedges,sd,A,R,27,9,8,2,0,0,1,1,2,0,0,1,0,0,0,0.25,0.222,0.625,0.847,0.322,5883,Zack Greinke,ari,R,Chase Field
30676,Zack Greinke,Chase d'Arnaud,sd,A,R,11,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0,0.333,0.233,5883,Zack Greinke,ari,R,Chase Field
33205,Zack Greinke,Hunter Renfroe,sd,A,R,21,6,6,1,0,0,0,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.333,0.15,5883,Zack Greinke,ari,R,Chase Field
31337,Zack Greinke,Matt Szczur,sd,A,R,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5883,Zack Greinke,ari,R,Chase Field
6522,Zack Greinke,Erick Aybar,sd,A,S,128,40,35,12,5,0,1,4,3,2,0,5,1,2,1,0.343,0.385,0.571,0.956,0.404,5883,Zack Greinke,ari,R,Chase Field
31265,Zack Greinke,Wil Myers,sd,A,R,128,32,29,4,1,0,1,2,2,3,0,8,0,0,0,0.138,0.219,0.276,0.495,0.223,5883,Zack Greinke,ari,R,Chase Field
32169,Zack Greinke,Cory Spangenberg,sd,A,L,51,17,16,3,0,0,0,1,0,1,0,1,0,0,0,0.188,0.235,0.188,0.423,0.2,5883,Zack Greinke,ari,R,Chase Field
30898,Zack Greinke,Yangervis Solarte,sd,A,S,83,25,24,6,2,0,0,1,1,1,0,3,0,0,0,0.25,0.28,0.333,0.613,0.272,5883,Zack Greinke,ari,R,Chase Field
31944,Yovani Gallardo,Eddie Rosario,min,A,L,13,4,4,1,0,0,0,0,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5,0.225,28650,Yovani Gallardo,sea,R,Safeco Field
31260,Yovani Gallardo,Miguel Sano,min,A,R,21,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.75,0,0.75,0.525,28650,Yovani Gallardo,sea,R,Safeco Field
31009,Yovani Gallardo,Brian Dozier,min,A,R,70,15,12,5,0,0,1,3,4,0,0,0,0,0,0,0.417,0.357,0.667,1.024,0.4,28650,Yovani Gallardo,sea,R,Safeco Field
30272,Yovani Gallardo,Eduardo Escobar,min,A,S,22,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28650,Yovani Gallardo,sea,R,Safeco Field
32655,Yovani Gallardo,Byron Buxton,min,A,R,13,2,2,2,2,0,0,1,0,0,0,0,0,0,0,1,1,2,3,1.25,28650,Yovani Gallardo,sea,R,Safeco Field
29361,Yovani Gallardo,Chris Gimenez,min,A,R,14,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0.333,0,0.333,0.233,28650,Yovani Gallardo,sea,R,Safeco Field
30178,Yovani Gallardo,Jason Castro,min,A,L,96,25,21,8,2,0,1,3,1,4,0,6,0,0,0,0.381,0.48,0.619,1.099,0.472,28650,Yovani Gallardo,sea,R,Safeco Field
5378,Yovani Gallardo,Joe Mauer,min,A,L,88,21,16,7,0,0,0,3,1,4,2,3,0,0,0,0.438,0.524,0.438,0.961,0.433,28650,Yovani Gallardo,sea,R,Safeco Field
