Game_date=20170604,DFS_Salary_date=20170604,PA_minimum=1,player names are delimited by quotes
MLB_ID,ESPN_ID,Name(LF),Name(FL),Team,H/A,Bats,Active,FD_pos,DK_pos,DD_pos,YH_pos,FD_sal,DK_sal,DD_sal,YH_sal,NP,PA,AB,Hits,2B,3B,HR,Runs,RBI,BB,IBB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,MLB_ID(p),ESPN_ID(p),Pitcher_name(LF),Pitcher_name(FL),P_Team,Throws,game_time,Stadium,FD_sal,DK_sal,DD_sal,YH_sal
571466,31173,"Barnhart, Tucker","Tucker Barnhart",cin,H,S,1,2,2,2,2,,,,,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
458015,28670,"Votto, Joey","Joey Votto",cin,H,L,1,3,3,3,3,,,,,53,12,8,2,1,0,0,2,1,4,0,0,0,0,0,.250,.500,.375,.875,.412,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
571697,31175,"Gennett, Scooter","Scooter Gennett",cin,H,L,1,4,4,4,4,,,,,51,15,15,3,0,0,0,0,0,0,0,1,0,0,0,.200,.200,.200,.400,.180,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
599096,33091,"Herrera, Dilson"," Dilson Herrera",cin,H,R,,4,46,46,4,,,,,15,5,5,1,0,0,0,0,0,0,0,1,0,0,0,.200,.200,.200,.400,.180,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
571740,31042,"Hamilton, Billy","Billy Hamilton",cin,H,S,1,7,7,7,,,,,,26,7,7,1,0,0,0,0,0,0,0,1,0,0,1,.143,.143,.143,.286,.129,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
553993,32367,"Suarez, Eugenio","Eugenio Suarez",cin,H,R,1,6,6,6,6,,,,,20,3,3,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000,.000,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
519023,29950,"Mesoraco, Devin","Devin Mesoraco",cin,H,R,1,2,2,2,,,,,,24,5,4,0,0,0,0,0,0,1,0,3,0,0,0,.000,.200,.000,.200,.140,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
570489,32823,"Alcantara, Arismendy","Arismendy Alcantara",cin,H,S,1,7,,45,4,,,,,12,4,4,2,1,0,1,1,2,0,0,1,0,0,0,.500,.500,1.500,2.000,.812,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
446359,30466,"Cozart, Zack","Zack Cozart",cin,H,R,1,6,6,6,,,,,,50,11,9,1,1,0,0,0,0,1,0,5,1,0,0,.111,.273,.222,.495,.241,527054,31091,"Teheran, Julio","Julio Teheran",atl,R,1:10 PM EDT,Great American Ball Park,,,,
465041,29273,"Cervelli, Francisco","Francisco Cervelli",pit,A,R,1,2,2,2,2,,,,,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,1.000,.000,1.000,.700,543652,33687,"Pill, Tyler","Tyler Pill",nym,R,1:10 PM EDT,Citi Field,,,,
